District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop,,,,,,
Gatsibo,Muhura,French beans,Maize,Celery,Potato,Avocado,,,,,,
Gatsibo,Murambi,French beans,Celery,Maize,Avocado,Mango,,,,,,
Gatsibo,Ngarama,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Gatsibo,Nyagihanga,Coffee,French beans,Avocado,Celery,Mango,,,,,,
Gatsibo,Remera,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Gatsibo,Rugarama,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Gatsibo,Rwimbogo,French beans,Avocado,Coffee,Mango,Celery,,,,,,
Kayonza,Gahini,French beans,Maize,Celery,Mango,Avocado,,,,,,
Kayonza,Kabare,French beans,Maize,Celery,Mango,Avocado,,,,,,
Kayonza,Kabarondo,French beans,Maize,Celery,Mango,Avocado,,,,,,
Kayonza,Mukarange,French beans,Maize,Celery,Mango,Avocado,,,,,,
Kayonza,Murama,French beans,Maize,Celery,Avocado,Mango,,,,,,
Kayonza,Murundi,Mango,Maize,French beans,Celery,Bell peppers,,,,,,
Kayonza,Ndego,French beans,Mango,Avocado,Maize,Celery,,,,,,
Kayonza,Nyamirama,French beans,Maize,Celery,Avocado,Mango,,,,,,
Kayonza,Rukara,French beans,Maize,Celery,Mango,Avocado,,,,,,
Kayonza,Ruramira,Maize,Celery,French beans,Mango,Avocado,,,,,,
Kayonza,Rwinkwavu,French beans,Mango,Celery,Maize,Avocado,,,,,,
Kirehe,Gahara,French beans,Mango,Maize,Celery,Avocado,,,,,,
Kirehe,Gatore,Maize,Celery,Mango,French beans,Bell peppers,,,,,,
Kirehe,Kigarama,Maize,Celery,Mango,French beans,Bell peppers,,,,,,
Kirehe,Kigina,French beans,Maize,Mango,Avocado,Celery,,,,,,
Kirehe,Kirehe,French beans,Maize,Celery,Avocado,Mango,,,,,,
Kirehe,Mahama,Mango,French beans,Maize,Celery,Avocado,,,,,,
Kirehe,Mpanga,French beans,Maize,Celery,Avocado,Mango,,,,,,
Kirehe,Musaza,French beans,Celery,Maize,Avocado,Mango,,,,,,
Kirehe,Mushikiri,Maize,Celery,French beans,Mango,Avocado,,,,,,
Kirehe,Nasho,Maize,Celery,Mango,Bell peppers,Eggplant,,,,,,
Kirehe,Nyamugari,Maize,Celery,Mango,Eggplant,Bell peppers,,,,,,
Kirehe,Nyarubuye,French beans,Maize,Celery,Mango,Avocado,,,,,,
Ngoma,Gashanda,French beans,Mango,Avocado,Maize,Celery,,,,,,
Ngoma,Jarama,French beans,Maize,Mango,Celery,Avocado,,,,,,
Ngoma,Karembo,French beans,Avocado,Mango,Maize,Celery,,,,,,
Ngoma,Kazo,French beans,Maize,Mango,Avocado,Celery,,,,,,
Ngoma,Kibungo,French beans,Maize,Celery,Mango,Avocado,,,,,,
Ngoma,Mugesera,French beans,Mango,Maize,Celery,Avocado,,,,,,
Ngoma,Murama,French beans,Mango,Maize,Celery,Avocado,,,,,,
Ngoma,Mutenderi,French beans,Mango,Maize,Avocado,Celery,,,,,,
Ngoma,Remera,French beans,Celery,Maize,Avocado,Mango,,,,,,
Ngoma,Rukira,French beans,Celery,Maize,Avocado,Mango,,,,,,
Ngoma,Rukumberi,French beans,Mango,Maize,Celery,Avocado,,,,,,
Ngoma,Rurenge,Avocado,French beans,Mango,Coffee,Celery,,,,,,
Ngoma,Sake,French beans,Maize,Celery,Mango,Avocado,,,,,,
Ngoma,Zaza,French beans,Maize,Mango,Celery,Avocado,,,,,,
Bugesera,Gashora,Maize,Mango,Celery,French beans,Bell peppers,,,,,,
Bugesera,Juru,French beans,Maize,Celery,Mango,Avocado,,,,,,
Bugesera,Kamabuye,French beans,Mango,Maize,Celery,Avocado,,,,,,
Bugesera,Mareba,French beans,Mango,Celery,Maize,Avocado,,,,,,
Bugesera,Mayange,French beans,Maize,Mango,Celery,Avocado,,,,,,
Bugesera,Musenyi,Maize,Celery,French beans,Mango,Avocado,,,,,,
Bugesera,Mwogo,Maize,Celery,French beans,Mango,Eggplant,,,,,,
Bugesera,Ngeruka,French beans,Celery,Maize,Mango,Eggplant,,,,,,
Bugesera,Ntarama,French beans,Maize,Celery,Mango,Eggplant,,,,,,
Bugesera,Nyamata,French beans,Mango,Maize,Celery,Avocado,,,,,,
Bugesera,Nyarugenge,French beans,Maize,Mango,Celery,Avocado,,,,,,
Bugesera,Rilima,French beans,Maize,Celery,Mango,Eggplant,,,,,,
Bugesera,Ruhuha,French beans,Maize,Mango,Celery,Avocado,,,,,,
Bugesera,Rweru,French beans,Mango,Maize,Celery,Avocado,,,,,,
Bugesera,Shyara,French beans,Mango,Avocado,Maize,Celery,,,,,,
