District,Sector,Top 1 Crop,Top 2 Crop,Top 3 Crop,Top 4 Crop,Top 5 Crop,,,,,,
Nyanza,Mukingo,French beans,Coffee,Avocado,Celery,Mango,,,,,,
Nyanza,Muyira,Avocado,Coffee,French beans,Mango,Bell peppers,,,,,,
Nyanza,Ntyazo,Coffee,Avocado,French beans,Mango,Bell peppers,,,,,,
Nyanza,Nyagisozi,French beans,Coffee,Potato,Avocado,Maize,,,,,,
Nyanza,Rwabicuma,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Gisagara,Gikonko,French beans,Avocado,Mango,Maize,Celery,,,,,,
Gisagara,Gishubi,Avocado,French beans,Mango,Maize,Celery,,,,,,
Gisagara,Kansi,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Gisagara,Kibirizi,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Gisagara,Kigembe,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Gisagara,Mamba,French beans,Avocado,Mango,Maize,Celery,,,,,,
Gisagara,Muganza,Coffee,Avocado,French beans,Mango,Bell peppers,,,,,,
Gisagara,Mugombwa,Coffee,Avocado,French beans,Mango,Bell peppers,,,,,,
Gisagara,Mukindo,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Gisagara,Musha,French beans,Avocado,Mango,Maize,Celery,,,,,,
Gisagara,Ndora,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Gisagara,Nyanza,French beans,Avocado,Coffee,Mango,Maize,,,,,,
Gisagara,Save,French beans,Avocado,Coffee,Celery,Eggplant,,,,,,
Nyaruguru,Busanze,French beans,Coffee,Potato,Avocado,Celery,,,,,,
Nyaruguru,Cyahinda,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Nyaruguru,Kibeho,French beans,Coffee,Avocado,Mango,Maize,,,,,,
Nyaruguru,Mata,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Nyaruguru,Muganza,French beans,Coffee,Potato,Celery,Maize,,,,,,
Nyaruguru,Munini,French beans,Coffee,Avocado,Celery,Potato,,,,,,
Nyaruguru,Ngera,French beans,Avocado,Mango,Coffee,Maize,,,,,,
Nyaruguru,Ngoma,Coffee,French beans,Avocado,Mango,Celery,,,,,,
Nyaruguru,Nyabimata,French beans,Potato,Coffee,Celery,Maize,,,,,,
Nyaruguru,Nyagisozi,French beans,Coffee,Avocado,Mango,Celery,,,,,,
Nyaruguru,Ruheru,French beans,Coffee,Potato,Celery,Maize,,,,,,
Nyaruguru,Ruramba,French beans,Coffee,Potato,Celery,Maize,,,,,,
Nyaruguru,Rusenge,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Huye,Gishamvu,Coffee,French beans,Avocado,Mango,Celery,,,,,,
Huye,Huye,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Huye,Karama,French beans,Coffee,Avocado,Celery,Maize,,,,,,
Huye,Kigoma,French beans,Avocado,Coffee,Mango,Maize,,,,,,
